system_id,title,occupation,age,sex,organization,art,description,keeper_description,attacksPerRound,skill_fighting_brawl,skill_fighting_dodge,armor,hp,mp,san,lck,str,con,siz,dex,app,int,pow,edu
Moses Eldridge,Moses Eldridge,Lecturer at Columbia University,42,Female,n/a,systems/CoC7/assets/icons/cultist.svg,"<p>Moses Eldridge is a Biologist and Natural Historian, who enjoys hiking. Born in 1888, he is a slightly built, African American man with a weather-beaten complexion. His interest in Biology and the natural world around him developed as a child, when he grew up in rural Mississippi enjoying hunting and fishing trips with his father who supplemented the family menu this way. His education was sufficient to obtain a place at Tuskegee Institute, where he studied Biology under George Washington Carver. He inherited a modest sum of money from an uncle who had owned and operated a lumber business allowing him to pursue his studies without the need for finding additional employment. Eldridge is currently employed as a lecturer at Columbia University </p>","Credit Rating 50% (25/10), Firearms (shotgun) 40% (20/8); History 40% (20/8), Library Use 50% (25/10), Listen 45% (22/9), Natural History 60% (30/12), Other Language: Latin 50% (25/10), Own Language: English 60% (30/12), Persuade 40% (20/8), Psychology 40% (20/8), Science (Biology) 70% (35/14), Spot Hidden 45% (22/9), Survive (Woods) 30% (15/60; Track 30% (15/6)",,,,,,,,,,,,,,,,
Isabella Peron,Isabella Peron,Investigator,25,Female,n/a,systems/CoC7/assets/icons/cultist.svg,"<p>Isabella Peron is an occasional actress, who despite having had only a modest start in life, aims to significantly improve herself, generally by seeking a ‘sugar daddy’.</p> <p>The daughter of a longshoreman who had immigrated to the US from the Caribbean; her childhood was one of having to make do and repair. She is blessed with both beauty and intelligence and is unscrupulous in their use to manipulate and control potential suitors to ensure she does not have to make do ever again.</p>",,,,,,,,,,,,,,,,,
theodore_bainbridge,Theodore Bainbridge,Leader of the Cult of the Spreading Seed,34,Male,Cult of the Spreading Seed,https://schubertquest-foundry-assets.s3.ap-southeast-2.amazonaws.com/lovemaps/evil_on_the_east_river/characters/theodore_bainbridge.webp,"<p>Theodore Bainbridge is a sadistic leader of the Cult and a murderer, who has a relentless pursuit of pleasure. For a number of years, he has craved a natural Heir and has been experimenting with drugs and magic as a means to improve his fertility.</p><p>He strives to gain influence from the rich and powerful and hopes to successfully Summon the Avatar Shub Niggurath to Earth. Mary Mallon will become the vessel for the Avatar of Shub Niggerath. If successfully summoned, she will transform into a beautiful woman. He hopes the God will grant him unlimited power to rule for her.</p>","Spells: Contact Lady of the Woods Avatar of Shub Niggurath, Cloud Memory, Flesh Ward. Skills Accounting 50%, Charm 55%, Credit Rating 65%, Cthulhu Mythos 28%, Intimidate 33%, Library Use 54%, Occult 66%, Psychology 32%, Spot Hidden 40%, Stealth 43%.",1,30,40,0,13,17,99,25,75,60,70,65,85,75,85,70
diane_ford,Diane Ford,Mobster,26,Female,Cult of the Spreading Seed,https://schubertquest-foundry-assets.s3.ap-southeast-2.amazonaws.com/lovemaps/evil_on_the_east_river/characters/diane_ford.webp,"<p>Born in Harlem, in a poor part of town, Diane had to become streetwise very quickly. A petty criminal and prostitute she joined the cult when Bainbridge discovered she had qualities that made her a useful cult member She has since joining the cult, learned some basic business skills.</p><p>She now runs the Bainbridge Faith Healing business. This is a front to obtain influence with the rich and to play on their illnesses. She has flirted with the powerful and has affairs with them. She has been involved in blackmail for the cult, having been with many of high members of society, such as judges and doctors</p><p>She has murdered for the cult and will often bring loners to the cult, to be captured and used for sacrifice. These are imprisoned on the Island and used in Monthly Sacrifices during the Full Moon. Bainbridge has been trying to impregnate her, but unsuccessfully.</p>",plain text,1,25,25,0,10,10,99,2,50,50,50,50,50,50,40,50
michael_driver,Michael Driver,Captain and Cult Member,51,Male,Cult of the Spreading Seed,https://schubertquest-foundry-assets.s3.ap-southeast-2.amazonaws.com/lovemaps/evil_on_the_east_river/characters/michael_driver.webp,"A violent man, who joined the cult because he enjoyed inflicting pain so much. Loves to torture and interrogate victims. Has murdered for the cult on numerous occasions. Likes to be involved in sacrificing people. He often accompanies Ford to capture potential victims for sacrifices.",plain text,1,25,25,0,10,10,40,2,50,50,50,50,50,50,40,50
adrian_washington,Adrian Washington,Chief Engineer and Cult Member,45,Male,Cult of the Spreading Seed,https://schubertquest-foundry-assets.s3.ap-southeast-2.amazonaws.com/lovemaps/evil_on_the_east_river/characters/adrian_washington.webp,A dirty ugly man who loved the most perverted side of the cult. Prides himself on his ability to perform the most gross acts. He fits right in as a member of the cult and is involved in all the orgies.,plain text,1,25,25,0,10,10,40,2,50,50,50,50,50,50,40,50
archibald_jackson,Archibald Jackson,Second Officer and Cult Member,33,Male,Cult of the Spreading Seed,https://schubertquest-foundry-assets.s3.ap-southeast-2.amazonaws.com/lovemaps/evil_on_the_east_river/characters/archibald_jackson.webp,"Jackson served some time in prison, where he learned the art of carving stone and wood. While imprisoned, he made a Chess Set out of his carvings and often played with the Prison Officers and Warden. This made him an enemy of the other prisoners, who subjected him to beatings, Archibald learned to enjoy this and became a masochist and was attracted to the cult.Archibald is often involved in degenerate acts of debauchery. He now carves bone of the victims and often keeps trophies of victims. If his apartment is searched traces of human bones will be found.",plain text,1,25,25,0,10,10,40,2,50,50,50,50,50,50,40,50
daniel_adams,Daniel Adams,Steward and Cult Member,32,Male,Cult of the Spreading Seed,https://schubertquest-foundry-assets.s3.ap-southeast-2.amazonaws.com/lovemaps/evil_on_the_east_river/characters/daniel_adams.webp,"Adams is a ruthless murderer and enjoys nothing more than killing and disposing of bodies. He has been nicknamed “the ghoul” by his fellow cultists. He works alongside a local undertaker, who is employed to dispose of bodies when necessary.",plain text,1,25,25,0,10,10,40,2,50,50,50,50,50,50,40,50
david_parsons,David Parsons,Steward and Cult Member,56,Male,Cult of the Spreading Seed,https://schubertquest-foundry-assets.s3.ap-southeast-2.amazonaws.com/lovemaps/evil_on_the_east_river/characters/david_parsons.webp,Parsons loves to butcher and prepare meat. He enjoys eating human flesh and often removes organs from the sacrifices and cooks and eats them. Best friends with Adams who he participates with when sacrificing victims.,plain text,1,25,25,0,10,10,40,2,50,50,50,50,50,50,40,50
Alelia_Walker,A’lelia Walker,"Adventuress, Millionaire and Patron of the Walker Studio",35,Female,n/a,https://schubertquest-foundry-assets.s3.ap-southeast-2.amazonaws.com/lovemaps/evil_on_the_east_river/characters/Alelia_Walker.webp,"She started out by helping her mother, founding Madam C.J. Walker Manufacturing Company. She opened and ran the New York branch for a few years and became president of the company upon her mother’s death in 1919. Walker found the business tedious, so she became part of Harlem’s social life, and the renaissance movement. Her position of wealth and as a patron of the arts placed her in the unique position of patron and hostess to the best and brightest people in Harlem. She enjoyed jazz and often sort out musicians to play at her elegant parties. In the 1920s Harlem, the residence of Miss Walker became known asthe place to be. She formed Walker Studios and later the Dark Tower, where she threw lavish parties for all the talented artists of Harlem and New York. She converted a whole floor of her townhouse into what was known as Walker Studios, where visitors could share their thoughts, creativity and forbidden interests in privacy of a safe and secure environment. Without the patronage of Walker, many writers and musicians would not have been discovered. She was known for accepting gay and lesbian performances. She developed a scandalous reputation among the conservative elite, which attracted Bainbridge to her and her organisation.",plain text,1,25,25,0,10,10,40,2,50,50,50,50,50,50,40,50
